DESCRICAO,APRESENTACAO,QUANTIDADE,TOTAL_BRUTO,TOTAL_LIQUIDO,PROD_SALDO,VALOR_ULT_COMPRA
CITRATO DE SILDENAFILA  50MG  COMP,50mg cx 8 comp rev,100,"12426,60019","6213,210075",4,"4,10529995"
TORSILAX  C/ 10 COMPR. NEO QUIM., CX/ 30 COMPR.,886,"10289,3602","5178,870199",-12,"2,290888786"
NEOSALDINA 30 DRAG,,315,"9293,980021","7436,83013",13,"22,23749924"
CIMELIDE C/12 COMPR.(NIMESULIDA),NIMESULIDA CIMED,497,"7971,510023","4008,039969",71,"2,524600029"
DORFLEX,300+35+50 mg comp x 300 emb. mult,51,"7811,520081","4922,370056",1,"117,3399963"
MELOXICAM 15 MG.C/10 COMP. MERCK,GENERICO MERCK,134,"4978,990086","2510,040016",5,"6,454999924"
CITRATO DE SILDENAFILA,50mg cx 4 comp,196,"4653,140087","3124,250049",49,"3,319999933"
MULTIGRIP,400+4+4mg 2bl x 10 cap,198,"4108,739998","2059,699992",33,"4,289999962"
FLORENT,100MG CX 12 CAP,104,"3844,139931","1964,170044",6,"12,18875027"
BETRICORT,creme bg 30g,145,"3826,599955","1915,829967",17,"5,309999943"
BUSCOPAN COMPOSTO COMP.REVESTIDO,COMPR REV C/2BL X 10,267,"3816,709995","3113,149964",-18,"10,76329994"
NEOSORO,30 ML,426,"3644,110103","1847,560015",54,"2,319999933"
ALBENDAZOL 400MG 5 CPS / GEN ALBENDAZOL,,119,"3617,650055","1854,110028",45,"7,324399948"
TADALAFILA,20mg cx 60 comp rev (Emb Frac),4,"3412,77002","1706,400024",1,"104,8700027"
"DIAD 0,75MG C/2","0,75MG C/2",187,"2956,979963","1506,079982",65,"2,549999952"
LOSARTANA POTASSICA 50MG,50MG,306,"2919,239988","1754,419991",35,"2,487499952"
CIMEGRIPE,400+4+4mg cx 100 cap,29,"2864,329903","1091,449989",21,"12,48999977"
ACICLOVIR,200mg fr 25 comp,27,"2805,060036","1402,530018",8,"17,29000092"
SODIX,50mg cx 20 comp rev,260,"2607,969925","1303,969962",98,"2,339999914"
TYLENOL SINUS,COMPRIMIDO,156,"2592,75001","2084,679992",22,"12,78999996"
SELOZOK 50MG 30 COMP,50MG 30COMP,45,"2481,499958","1998,950043",3,"42,72999954"
NEOLEFRIN 20COMP,400+20+400+4mg cx 20 comp,144,"2384,579945","1207,939976",12,"4,829999924"
PARACETAMOL 750MG 12 COMP,750MG 12 COMP,15,"2359,379913","1180,249957",12,"43,25999832"
BENEGRIP,6 COMPRIMIDOS       ,259,"2327,449978","1657,349997",40,"6,684400082"
TREZOR,10mg cx 30 comp rev,46,"2272,199982","1826,080032",2,"29,04999924"
DIANE 35 DRG 3X21,,37,"2219,200039","1775,410042",3,"45,11000061"
IBUPROFENO,100mg/ml susp oral fr 20ml,114,"2046,300087","1050,629951",60,"2,789999962"
EXPEC XPE 120 ML,VD.120 ML LEGRAND,64,"2022,870005","1011,49998",29,"8,616200447"
LAVITAN SUPLEMENTOS FR 60 DRG - LOTE: 1308839 PMC:,,49,1960,1240,31,"8,989999771"
LORITIL,10MG CX 12 COMP,122,"1934,719973","983,3199787",34,"2,493299961"
ESTOMAZIL EFV C/50 ENV 5G ABACAX,,15,"1919,049988","1348,689995",2,"101,1999969"
BENICAR ANLO,40+10mg cx 30 comp rev,26,"1872,460007","1505,140007",2,"54,27999878"
PRATIDERM,100MUI+200MG POM DERM BG 60G,73,"1869,480042","956,1900206",2,"9,178299904"
NEVRALGEX,300+50+35mg cx 100 comp,36,"1804,12001","902,0600052",6,"7,989999771"
ENXAK C/12 COMPR.(CEFALIV),C/12 COMPR.,111,"1739,269993","1472,280002",61,"7,929999828"
OMEPRAZOL,20MG CX 28 CAP,52,"1735,379948","867,8800278",5,"4,722499847"
TANDRILAX COMPR. C/30,CX 30 COMPRIMIDOS,49,"1730,539928","1357,809988",3,"21,55999947"
DIPIRONA SODICA GENERICO PRATI DONADUZI,500 MG 10 COMPRIMIDOS,8,"1716,589981","858,2899933",7,"69,68000031"
