Cod. Barras;NCM;Codigo;Produto;Apresentacao;Quantidade;Total Bruto;Desconto;Total Liquido;Ulti. Compra;Saldo Atual
7891317485313;30049079;19208;*TAMIRAM 750MG CPR 1X5-OUTROS;;2;R$ 174,36 ;R$ 34,88 ;R$ 139,48 ;R$ 68,22 ;1
7896241225257;30049042;16078;ABLOK PLUS 25MG/12,5;30 COMPRIMIDOS;1;R$ 17,66 ;R$ 3,53 ;R$ 14,13 ;R$ 12,14 ;3
7896241225127;30049042;8942;ABLOK PLUS 50/12,5MG C/30 COMPRI;30 COMPR.50MG/12,5MG;4;R$ 130,48 ;R$ 22,82 ;R$ 107,66 ;R$ 23,64 ;3
7898040320973;30049099;11939;ABRILAR XAROPE 100 ML;100 ML;2;R$ 90,58 ;R$ 18,12 ;R$ 72,46 ;R$ 35,77 ;2
7506339394603;96190000;19500;ABS ALWAYS NOITE TRANQ C-ABAS SUAVE L8P7UN (1-UN);;1;R$ 6,70 ;R$ 0,00 ;R$ 6,70 ;R$ 4,78 ;11
7506339394535;96190000;19163;ABS ALWAYS NOITE TRANQ SC C/AB L8P7;;4;R$ 26,00 ;R$ 0,00 ;R$ 26,00 ;R$ 4,88 ;13
7501065922748;96190000;20882;ABS ALWAYS PROTECAO TOTAL S-ABAS SECA 8UN (1-UN);;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 4,00 ;1
7891010618766;96190000;20988;ABS CAREFREE FLEX S/PERF C/15;;1;R$ 4,50 ;R$ 0,00 ;R$ 4,50 ;R$ 3,07 ;1
7896007541867;96190000;16564;ABS INTERNO INTIMUS ;8UN MODERADO;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 5,08 ;17
7896007547685;96190000;19611;ABS INTIMUS GEL C-ABAS SUAVE NOTURNO L9P8UN (1-UN);;4;R$ 24,00 ;R$ 1,20 ;R$ 22,80 ;R$ 4,49 ;9
7891010973483;96190000;18317;ABS S LIVRE ESP SUAVE C/AB L8P7UN;;1;R$ 3,00 ;R$ 0,00 ;R$ 3,00 ;R$ 2,09 ;3
7896110007892;96190000;17530;ABS SYM NOTURNO C/AB L8P7UN;;1;R$ 2,91 ;R$ 0,00 ;R$ 2,91 ;R$ 35,96 ;-7
7896110007908;96190000;18796;ABS SYM SECA C/AB L8P7UN;;2;R$ 5,00 ;R$ 0,00 ;R$ 5,00 ;R$ 1,99 ;4
7896110008042;96190000;17418;ABS SYM SUAVE;C/AB L16P14UN NORMAL;1;R$ 4,03 ;R$ 0,00 ;R$ 4,03 ;R$ 4,14 ;13
7896110007700;96190000;18886;ABS SYM SUAVE C/AB L8P7UN;;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 1,92 ;12
7891010503031;96190000;15615;ABS. SEMPRE LIVRE ESPECIAL SEM ABAS;8 UNIDADES;3;R$ 7,50 ;R$ 0,00 ;R$ 7,50 ;R$ 2,80 ;21
7891010015268;96190000;10860;ABS.CAREFREE NEUTRALIZE C/15 UNID.;NEUTRALIZE VERMELHO C/15 UNID.;2;R$ 8,00 ;R$ 0,00 ;R$ 8,00 ;R$ 3,57 ;9
7896007540617;96190000;12609;ABS.INTIMUS GEL SOFT C/ABAS C/8 UNID.;7896007540617 C/ABAS C/8 UNID.;7;R$ 23,94 ;R$ 0,00 ;R$ 23,94 ;R$ 127,01 ;3
