Cod. Barras;NCM;Codigo;Produto;Apresentacao;Quantidade;Total Bruto;Desconto;Total Liquido;Ulti. Compra;Saldo Atual
7891317485313;30049079;19208;*TAMIRAM 750MG CPR 1X5-OUTROS;;2;R$ 174,36 ;R$ 34,88 ;R$ 139,48 ;R$ 68,22 ;1
7899547510119;30049069;20431;- BETAISTINA DICLOR 24MG 30 CPS / GEN DICLORIDRATO;;1;R$ 26,84 ;R$ 13,42 ;R$ 13,42 ;R$ 10,66 ;0
7899547500257;30049059;21094;- ORLISTATE 120MG 84 CAP ;;1;R$ 286,11 ;R$ 143,05 ;R$ 143,06 ;R$ 92,42 ;0
7896241225523;30049042;8932;ABLOK 50 MG CX C/30;50MG CX C/30 COMP;1;R$ 25,09 ;R$ 5,02 ;R$ 20,07 ;R$ 18,17 ;1
7896241225257;30049042;16078;ABLOK PLUS 25MG/12,5;30 COMPRIMIDOS;1;R$ 17,66 ;R$ 3,53 ;R$ 14,13 ;R$ 12,14 ;3
7896241225127;30049042;8942;ABLOK PLUS 50/12,5MG C/30 COMPRI;30 COMPR.50MG/12,5MG;3;R$ 97,86 ;R$ 19,56 ;R$ 78,30 ;R$ 23,64 ;3
7898040320973;30049099;11939;ABRILAR XAROPE 100 ML;100 ML;2;R$ 90,58 ;R$ 18,12 ;R$ 72,46 ;R$ 35,77 ;2
7896007541874;96190000;16459;ABS INTERNO INTIMUS 8UN INTENSO;;3;R$ 18,00 ;R$ 0,00 ;R$ 18,00 ;R$ 5,08 ;10
7896007547647;96190000;19694;ABS INTIMUS GEL C ABAS SECA TRIPLA PROT L9P8UN (1-;;4;R$ 14,00 ;R$ 0,00 ;R$ 14,00 ;R$ 2,83 ;6
7896007547685;96190000;19611;ABS INTIMUS GEL C-ABAS SUAVE NOTURNO L9P8UN (1-UN);;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 4,49 ;9
7896007547654;96190000;19508;ABS INTIMUS GEL C-ABAS SUAVE TRIPLA PROT L9P8UN (1;;2;R$ 7,60 ;R$ 0,00 ;R$ 7,60 ;R$ 2,83 ;26
7896007541959;96190000;18885;ABS PROT D INT DAYS S/AB 15UN C/P CONT ODORES;;2;R$ 7,60 ;R$ 0,00 ;R$ 7,60 ;R$ 2,37 ;2
7891010694593;96190000;21142;ABS S LIVRE NOITE DIA SEC AB 8UN;;2;R$ 12,60 ;R$ 0,00 ;R$ 12,60 ;R$ 4,13 ;0
7896110007908;96190000;18796;ABS SYM SECA C/AB L8P7UN;;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 1,99 ;4
7896110008042;96190000;17418;ABS SYM SUAVE;C/AB L16P14UN NORMAL;1;R$ 4,03 ;R$ 0,00 ;R$ 4,03 ;R$ 4,14 ;13
7896110007700;96190000;18886;ABS SYM SUAVE C/AB L8P7UN;;2;R$ 5,00 ;R$ 0,00 ;R$ 5,00 ;R$ 1,92 ;12
7891010503031;96190000;15615;ABS. SEMPRE LIVRE ESPECIAL SEM ABAS;8 UNIDADES;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 2,80 ;21
7891010015268;96190000;10860;ABS.CAREFREE NEUTRALIZE C/15 UNID.;NEUTRALIZE VERMELHO C/15 UNID.;1;R$ 4,90 ;R$ 0,00 ;R$ 4,90 ;R$ 3,57 ;9
7896007540600;96190000;12898;ABS.INTIMUS GEL SOFT SEM ABAS C/8 UNID.;NORMAL SOFT SEM ABAS;1;R$ 3,54 ;R$ 0,00 ;R$ 3,54 ;R$ 2,58 ;23
7891010010546;96190000;3758;ABS.OB MEDIO C/10;OB MEDIO C/10;1;R$ 6,50 ;R$ 0,00 ;R$ 6,50 ;R$ 7,12 ;22
7891010010515;96190000;3759;ABS.OB MINI C/10;OB MINI C/10;1;R$ 9,00 ;R$ 0,00 ;R$ 9,00 ;R$ 7,19 ;14
7891010010577;96190000;3760;ABS.OB SUPER C/10;OB SUPER C/10;1;R$ 9,00 ;R$ 0,00 ;R$ 9,00 ;R$ 5,00 ;13
7500435127226;96190000;20821;ABSORV BASICO SECA C/ABAS ALWAYS 8UN;;3;R$ 10,50 ;R$ 0,00 ;R$ 10,50 ;R$ 2,70 ;4
7500435127240;96190000;20916;ABSORV BASICO SUAVE C/ABAS ALWAYS 8UN;;2;R$ 7,00 ;R$ 0,00 ;R$ 7,00 ;R$ 2,50 ;2
7896714214146;30049039;16957;ACEBROFILINA;10mg xpe fr 120ml adu;1;R$ 27,46 ;R$ 13,73 ;R$ 13,73 ;R$ 8,46 ;21
7896112191537;30049099;20270;ACEBROFILINA;10mg xpe fr 120ml+cm;6;R$ 170,04 ;R$ 85,02 ;R$ 85,02 ;R$ 7,31 ;0
7896004721897;30043210;20011;ACETATO DE DEXAMETASONA;1mg creme derm bg 10g;2;R$ 18,14 ;R$ 4,54 ;R$ 13,60 ;R$ 2,24 ;1
7896004721903;30043210;21091;ACETATO DE DEXAMETASONA CREME 10G EMS;1g creme derm bg 10g;1;R$ 9,04 ;R$ 1,81 ;R$ 7,23 ;R$ 2,45 ;1
7899095233805;30049099;16402;ACETILCISTEINA;20mg xpe fr 120ml inf;1;R$ 20,97 ;R$ 10,48 ;R$ 10,49 ;R$ 5,20 ;3
7896004713342;30049099;19123;ACETILCISTEINA;600mg gran 16 env x 5g;1;R$ 45,40 ;R$ 9,08 ;R$ 36,32 ;R$ 14,60 ;0
7891317001940;30049039;21118;ACETILCISTEINA XPE PED 100ML;20mg xpe fr 100ml;1;R$ 26,99 ;R$ 13,49 ;R$ 13,50 ;R$ 8,35 ;0
7898148293490;30043999;14455;ACETONIDA DE TRIANCINOLONA 1MG/G;POMADA BUCAL;4;R$ 47,12 ;R$ 23,56 ;R$ 23,56 ;R$ 3,68 ;33
7891317445300;30066000;20455;ACETONIDO DE ALGESTONA+ENANTATO 1ML;sol inj 1ml;3;R$ 34,14 ;R$ 17,07 ;R$ 17,07 ;R$ 6,67 ;-3
7896004714011;30049079;20909;ACICLOVIR CREME 10G;50mg creme bg 10g;1;R$ 21,10 ;R$ 10,55 ;R$ 10,55 ;R$ 5,11 ;0
7896112128847;30049069;20962;ACICLOVIR CREME 10G;50mg/g creme derm bg 10g;3;R$ 64,98 ;R$ 32,49 ;R$ 32,49 ;R$ 4,10 ;8
7896422517195;30049039;21070;ACIDO MEFENAMICO 500MG 24 COMP;500mg cx 24 comp;2;R$ 39,10 ;R$ 19,56 ;R$ 19,54 ;R$ 6,75 ;2
7897322709529;30045050;18506;ADDERA D3;50.000ui comp rev x 4;1;R$ 134,84 ;R$ 26,97 ;R$ 107,87 ;R$ 80,53 ;1
