Cod. Barras;NCM;Codigo;Produto;Apresentacao;Quantidade;Total Bruto;Desconto;Total Liquido;Ulti. Compra;Saldo Atual
7899547510119;30049069;20431;- BETAISTINA DICLOR 24MG 30 CPS / GEN DICLORIDRATO;;2;R$ 53,68 ;R$ 21,47 ;R$ 32,21 ;R$ 10,66 ;0
7896241221853;30049042;8523;"ABLOK 25 MG C/30 COMPRIMIDOS""BIOLAB";BIOLAB SANUS;1;R$ 13,47 ;R$ 2,69 ;R$ 10,78 ;R$ 9,35 ;0
7896241225127;30049042;8942;ABLOK PLUS 50/12,5MG C/30 COMPRI;30 COMPR.50MG/12,5MG;2;R$ 65,24 ;R$ 13,04 ;R$ 52,20 ;R$ 23,64 ;3
7898040320973;30049099;11939;ABRILAR XAROPE 100 ML;100 ML;3;R$ 135,87 ;R$ 33,96 ;R$ 101,91 ;R$ 35,77 ;2
7896007541874;96190000;16459;ABS INTERNO INTIMUS 8UN INTENSO;;6;R$ 36,00 ;R$ 0,00 ;R$ 36,00 ;R$ 5,08 ;10
7896007541850;96190000;16460;ABS INTERNO INTIMUS 8UN MINI;;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 17,85 ;-1
7891010973483;96190000;18317;ABS S LIVRE ESP SUAVE C/AB L8P7UN;;1;R$ 3,00 ;R$ 0,00 ;R$ 3,00 ;R$ 2,09 ;3
7891010694593;96190000;21142;ABS S LIVRE NOITE DIA SEC AB 8UN;;2;R$ 12,60 ;R$ 0,00 ;R$ 12,60 ;R$ 4,13 ;0
7896110007892;96190000;17530;ABS SYM NOTURNO C/AB L8P7UN;;7;R$ 20,37 ;R$ 0,00 ;R$ 20,37 ;R$ 35,96 ;-7
7896110007908;96190000;18796;ABS SYM SECA C/AB L8P7UN;;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 1,99 ;4
7896110007700;96190000;18886;ABS SYM SUAVE C/AB L8P7UN;;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 1,92 ;12
7891010503031;96190000;15615;ABS. SEMPRE LIVRE ESPECIAL SEM ABAS;8 UNIDADES;5;R$ 12,50 ;R$ 0,00 ;R$ 12,50 ;R$ 2,80 ;21
7896007540662;96190000;12016;ABS.INTIMUS GEL NOTURNO C/ABAS C/8;COD.7896007540662;3;R$ 12,15 ;R$ 0,00 ;R$ 12,15 ;R$ 3,83 ;19
7896007540617;96190000;12609;ABS.INTIMUS GEL SOFT C/ABAS C/8 UNID.;7896007540617 C/ABAS C/8 UNID.;4;R$ 14,24 ;R$ 0,00 ;R$ 14,24 ;R$ 127,01 ;3
7896007540600;96190000;12898;ABS.INTIMUS GEL SOFT SEM ABAS C/8 UNID.;NORMAL SOFT SEM ABAS;1;R$ 3,56 ;R$ 0,00 ;R$ 3,56 ;R$ 2,58 ;23
7891010010515;96190000;3759;ABS.OB MINI C/10;OB MINI C/10;2;R$ 18,00 ;R$ 1,80 ;R$ 16,20 ;R$ 7,19 ;14
7891010010577;96190000;3760;ABS.OB SUPER C/10;OB SUPER C/10;3;R$ 27,00 ;R$ 0,00 ;R$ 27,00 ;R$ 5,00 ;13
7500435127226;96190000;20821;ABSORV BASICO SECA C/ABAS ALWAYS 8UN;;4;R$ 14,00 ;R$ 0,00 ;R$ 14,00 ;R$ 2,70 ;4
