Cod. Barras;NCM;Codigo;Produto;Apresentacao;Quantidade;Total Bruto;Desconto;Total Liquido;Ulti. Compra;Saldo Atual
7891317485313;30049079;19208;*TAMIRAM 750MG CPR 1X5-OUTROS;;1;R$ 90,95 ;R$ 18,19 ;R$ 72,76 ;R$ 68,22 ;1
7898148294954;30049045;19620;- PARACETAMOL 750MG 24 CPS / GEN PARACETAMOL;;25;R$ 347,50 ;R$ 173,75 ;R$ 173,75 ;R$ 3,04 ;46
7896241225127;30049042;8942;ABLOK PLUS 50/12,5MG C/30 COMPRI;30 COMPR.50MG/12,5MG;1;R$ 34,04 ;R$ 6,81 ;R$ 27,23 ;R$ 23,64 ;3
7899095249134;30049099;21338;ABRIFIT XPE 100ML;7mg/ml xpe fr x 100ml + cp-dos;4;R$ 128,00 ;R$ 64,00 ;R$ 64,00 ;R$ 5,99 ;1
7898040320973;30049099;11939;ABRILAR XAROPE 100 ML;100 ML;1;R$ 47,24 ;R$ 2,24 ;R$ 45,00 ;R$ 35,77 ;2
7506339394535;96190000;19163;ABS ALWAYS NOITE TRANQ SC C/AB L8P7;;1;R$ 6,50 ;R$ 0,00 ;R$ 6,50 ;R$ 4,88 ;13
7506195129838;96190000;19597;ABS ALWAYS PROTEC TOTAL C-ABAS SUAVE 8UN (1-UN);;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 4,54 ;1
7896007541867;96190000;16564;ABS INTERNO INTIMUS ;8UN MODERADO;2;R$ 12,00 ;R$ 0,00 ;R$ 12,00 ;R$ 5,08 ;17
7896007541874;96190000;16459;ABS INTERNO INTIMUS 8UN INTENSO;;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 5,08 ;10
7896007541850;96190000;16460;ABS INTERNO INTIMUS 8UN MINI;;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 17,85 ;-1
7896007547685;96190000;19611;ABS INTIMUS GEL C-ABAS SUAVE NOTURNO L9P8UN (1-UN);;4;R$ 24,00 ;R$ 1,20 ;R$ 22,80 ;R$ 4,49 ;9
7891010245603;96190000;21239;ABS OB INTERN COMFORT MEDIO C 8;;1;R$ 7,90 ;R$ 0,00 ;R$ 7,90 ;R$ 5,16 ;0
7891010245610;96190000;21241;ABS OB INTERN COMFORT SUPER C 8;;2;R$ 15,80 ;R$ 0,00 ;R$ 15,80 ;R$ 5,16 ;0
7896110007892;96190000;17530;ABS SYM NOTURNO C/AB L8P7UN;;2;R$ 5,82 ;R$ 0,00 ;R$ 5,82 ;R$ 35,96 ;-7
7896110008363;96190000;17640;ABS SYM SECA ;C/AB L16P14;2;R$ 8,06 ;R$ 0,00 ;R$ 8,06 ;R$ 4,29 ;5
7896110007908;96190000;18796;ABS SYM SECA C/AB L8P7UN;;3;R$ 7,50 ;R$ 0,00 ;R$ 7,50 ;R$ 1,99 ;4
7896110008042;96190000;17418;ABS SYM SUAVE;C/AB L16P14UN NORMAL;1;R$ 4,03 ;R$ 0,00 ;R$ 4,03 ;R$ 4,14 ;13
7896110007700;96190000;18886;ABS SYM SUAVE C/AB L8P7UN;;3;R$ 7,50 ;R$ 0,00 ;R$ 7,50 ;R$ 1,92 ;12
7896007540617;96190000;12609;ABS.INTIMUS GEL SOFT C/ABAS C/8 UNID.;7896007540617 C/ABAS C/8 UNID.;9;R$ 31,50 ;R$ 0,00 ;R$ 31,50 ;R$ 127,01 ;3
7896007540600;96190000;12898;ABS.INTIMUS GEL SOFT SEM ABAS C/8 UNID.;NORMAL SOFT SEM ABAS;3;R$ 11,52 ;R$ 0,00 ;R$ 11,52 ;R$ 2,58 ;23
7891010031633;96190000;13620;ABS.SEMPRE LIVRE ADAPT C/ABAS SUAVE C/8;AGENTES NATURAIS;3;R$ 8,70 ;R$ 0,00 ;R$ 8,70 ;R$ 2,65 ;9
7891010034511;96190000;13621;ABS.SEMPRE LIVRE ADAPT S/ABAS AGENTES NAT.;SUAVE S/ABAS AGENTES NAT.;1;R$ 3,30 ;R$ 0,00 ;R$ 3,30 ;R$ 2,65 ;11
7896110002255;96190000;8554;ABS.SYM SEM ABAS C/8 CENTER-IN VERDE;COD.(7896110002255)ABS.SYM SEM ABAS;1;R$ 3,20 ;R$ 0,00 ;R$ 3,20 ;R$ 2,06 ;23
7500435127240;96190000;20916;ABSORV BASICO SUAVE C/ABAS ALWAYS 8UN;;4;R$ 14,00 ;R$ 0,00 ;R$ 14,00 ;R$ 2,50 ;2
7899095233027;30049039;16428;ACEBROFILINA;xpe fr 120ml adu;9;R$ 249,06 ;R$ 124,53 ;R$ 124,53 ;R$ 8,11 ;63
7899095233034;30049039;16429;ACEBROFILINA;xpe fr 120ml ped;4;R$ 79,24 ;R$ 39,60 ;R$ 39,64 ;R$ 5,85 ;23
7896112191490;30049069;20677;ACEBROFILINA 5MG XPE 120ML;5mg/ml xpe fr 120ml+cop;3;R$ 63,51 ;R$ 31,77 ;R$ 31,74 ;R$ 5,36 ;4
7898049795260;30049037;18977;ACECLOFENACO;100mg cx 12 comp rev;2;R$ 63,28 ;R$ 31,64 ;R$ 31,64 ;R$ 6,57 ;5
7898148294596;30043999;17810;ACETATO DE DEXAMETASONA;1mg/g creme derm bg 10g;3;R$ 27,30 ;R$ 13,65 ;R$ 13,65 ;R$ 2,61 ;9
7899095233799;30049059;16430;ACETILCISTEINA;40mg xpe fr 120ml adu;2;R$ 65,28 ;R$ 32,64 ;R$ 32,64 ;R$ 8,43 ;8
7898148293490;30043999;14455;ACETONIDA DE TRIANCINOLONA 1MG/G;POMADA BUCAL;8;R$ 98,24 ;R$ 49,12 ;R$ 49,12 ;R$ 3,68 ;33
