Cod. Barras;NCM;Codigo;Produto;Apresentacao;Quantidade;Total Bruto;Desconto;Total Liquido;Ulti. Compra;Saldo Atual
7899547510119;30049069;20431;- BETAISTINA DICLOR 24MG 30 CPS / GEN DICLORIDRATO;;1;R$ 26,84 ;R$ 13,42 ;R$ 13,42 ;R$ 10,66 ;0
7896241225127;30049042;8942;ABLOK PLUS 50/12,5MG C/30 COMPRI;30 COMPR.50MG/12,5MG;2;R$ 65,24 ;R$ 13,04 ;R$ 52,20 ;R$ 23,64 ;3
7898040320973;30049099;11939;ABRILAR XAROPE 100 ML;100 ML;1;R$ 45,29 ;R$ 9,06 ;R$ 36,23 ;R$ 35,77 ;2
7506339394603;96190000;19500;ABS ALWAYS NOITE TRANQ C-ABAS SUAVE L8P7UN (1-UN);;2;R$ 13,40 ;R$ 0,00 ;R$ 13,40 ;R$ 4,78 ;11
7891010039783;96190000;21022;ABS CAREFREE BRISA S/ PERF C/40;;1;R$ 8,90 ;R$ 0,00 ;R$ 8,90 ;R$ 5,84 ;0
7896007547685;96190000;19611;ABS INTIMUS GEL C-ABAS SUAVE NOTURNO L9P8UN (1-UN);;1;R$ 6,00 ;R$ 0,00 ;R$ 6,00 ;R$ 4,49 ;9
7896007547654;96190000;19508;ABS INTIMUS GEL C-ABAS SUAVE TRIPLA PROT L9P8UN (1;;4;R$ 15,20 ;R$ 0,00 ;R$ 15,20 ;R$ 2,83 ;26
7896110007892;96190000;17530;ABS SYM NOTURNO C/AB L8P7UN;;3;R$ 8,73 ;R$ 0,00 ;R$ 8,73 ;R$ 35,96 ;-7
7896110007908;96190000;18796;ABS SYM SECA C/AB L8P7UN;;1;R$ 2,50 ;R$ 0,00 ;R$ 2,50 ;R$ 1,99 ;4
7891010503031;96190000;15615;ABS. SEMPRE LIVRE ESPECIAL SEM ABAS;8 UNIDADES;2;R$ 5,00 ;R$ 0,00 ;R$ 5,00 ;R$ 2,80 ;21
7891010015268;96190000;10860;ABS.CAREFREE NEUTRALIZE C/15 UNID.;NEUTRALIZE VERMELHO C/15 UNID.;1;R$ 4,30 ;R$ 0,00 ;R$ 4,30 ;R$ 3,57 ;9
7896007540617;96190000;12609;ABS.INTIMUS GEL SOFT C/ABAS C/8 UNID.;7896007540617 C/ABAS C/8 UNID.;3;R$ 10,68 ;R$ 0,00 ;R$ 10,68 ;R$ 127,01 ;3
7896007540600;96190000;12898;ABS.INTIMUS GEL SOFT SEM ABAS C/8 UNID.;NORMAL SOFT SEM ABAS;3;R$ 10,26 ;R$ 0,00 ;R$ 10,26 ;R$ 2,58 ;23
7891010010546;96190000;3758;ABS.OB MEDIO C/10;OB MEDIO C/10;3;R$ 19,50 ;R$ 0,00 ;R$ 19,50 ;R$ 7,12 ;22
7891010010577;96190000;3760;ABS.OB SUPER C/10;OB SUPER C/10;1;R$ 9,00 ;R$ 0,00 ;R$ 9,00 ;R$ 5,00 ;13
7896004710495;30049099;17859;ACEBROFILINA;50 mg xpe fr 120ml;4;R$ 112,08 ;R$ 56,04 ;R$ 56,04 ;R$ 8,18 ;2
7896004710471;30049099;18593;ACEBROFILINA;50mg fr 120ml+cm;1;R$ 28,62 ;R$ 14,31 ;R$ 14,31 ;R$ 7,58 ;0
7896112191490;30049069;20677;ACEBROFILINA 5MG XPE 120ML;5mg/ml xpe fr 120ml+cop;6;R$ 121,74 ;R$ 54,76 ;R$ 66,98 ;R$ 5,36 ;4
7898049795260;30049037;18977;ACECLOFENACO;100mg cx 12 comp rev;3;R$ 91,02 ;R$ 45,51 ;R$ 45,51 ;R$ 6,57 ;5
7896902200913;29141929;14761;ACETONA BLUE;100 ML;1;R$ 2,00 ;R$ 0,00 ;R$ 2,00 ;R$ 1,61 ;12
7896902209176;33043000;19501;ACETONA FARMAX 200ML REMOVEDOR (1-UN);;2;R$ 9,00 ;R$ 0,00 ;R$ 9,00 ;R$ 3,43 ;2
7898148293490;30043999;14455;ACETONIDA DE TRIANCINOLONA 1MG/G;POMADA BUCAL;6;R$ 70,68 ;R$ 35,34 ;R$ 35,34 ;R$ 3,68 ;33
7896004713618;30066000;16086;ACETONIDO DE ALGESTONA+ENANTATO DE;150+10MG SOL INJ AMP X 1ML;4;R$ 45,72 ;R$ 17,13 ;R$ 28,59 ;R$ 5,47 ;14
7896004712031;30049099;21021;ACETONIDO TRIANCINOLONA POM. 10G;1mg pom bg 10g;4;R$ 47,76 ;R$ 23,88 ;R$ 23,88 ;R$ 3,09 ;0
7891721023477;30049069;19943;ACICLOVIR;200mg fr 25 comp;4;R$ 411,60 ;R$ 205,80 ;R$ 205,80 ;R$ 17,29 ;8
7896112128847;30049069;20962;ACICLOVIR CREME 10G;50mg/g creme derm bg 10g;4;R$ 86,64 ;R$ 43,32 ;R$ 43,32 ;R$ 4,10 ;8
7896181911517;30049039;19915;ACIDO MEFENAMICO;500mg cx 24 comp;1;R$ 19,22 ;R$ 9,61 ;R$ 9,61 ;R$ 7,52 ;1
7897322709468;30045050;18505;ADDERA D3;7.000ui comp rev x 4;1;R$ 26,69 ;R$ 5,34 ;R$ 21,35 ;R$ 22,35 ;6
7897322709529;30045050;18506;ADDERA D3;50.000ui comp rev x 4;1;R$ 134,84 ;R$ 26,97 ;R$ 107,87 ;R$ 80,53 ;1
7897322709475;30045050;20796;ADDERA D3 7000 10 COMP;7.000ui cx 10 comp rev;1;R$ 46,33 ;R$ 9,27 ;R$ 37,06 ;R$ 39,54 ;1
7896658003165;30043290;18373;ADINOS;0,5mg gel crem bg 15g;1;R$ 14,40 ;R$ 2,88 ;R$ 11,52 ;R$ 10,85 ;2
7896658021732;30049099;19304;ADIPEPT;40mg cx 28 comp rev;1;R$ 59,87 ;R$ 11,97 ;R$ 47,90 ;R$ 29,41 ;2
7891045043564;30049029;19249;ADVIL;400mg cx 8 cap (NAC);1;R$ 18,55 ;R$ 3,71 ;R$ 14,84 ;R$ 13,05 ;1
7896902211544;30049099;17351;AGUA OXIG FARMAX 10 VOL C/ 100ML;;1;R$ 2,00 ;R$ 0,00 ;R$ 2,00 ;R$ 1,25 ;66
7898283814215;90183219;20921;AGULHA DESC 25X0,70 DESCARPACK C/100;;1;R$ 13,50 ;R$ 0,00 ;R$ 13,50 ;R$ 9,79 ;0
7898148292936;30049063;14510;ALBENDAZOL 4%;10 ML;31;R$ 199,33 ;R$ 99,82 ;R$ 99,51 ;R$ 1,95 ;14
7899547527681;30049063;19365;ALBENDAZOL 400MG 5 CPS / GEN ALBENDAZOL;;3;R$ 90,60 ;R$ 30,20 ;R$ 60,40 ;R$ 7,32 ;45
7896004702452;30049063;21058;ALBENDAZOL SUSP 10ML;40mg sus fr 10ml;5;R$ 44,25 ;R$ 22,10 ;R$ 22,15 ;R$ 2,61 ;4
7898917052174;30039099;20666;ALCOOL 70% 100ML ALMOTOLIA CICLO FARMA;;1;R$ 3,50 ;R$ 0,00 ;R$ 3,50 ;R$ 1,80 ;1
7896454300031;22071090;20763;ALCOOL 70% 1LT SANTA CRUZ-LITRO;;1;R$ 10,50 ;R$ 0,00 ;R$ 10,50 ;R$ 7,00 ;12
7896388902004;22071090;20245;ALCOOL 70% 99ML LAHAS;;7;R$ 7,00 ;R$ 0,00 ;R$ 7,00 ;R$ 1,80 ;101
7898505092506;30043939;21075;ALGESTONA ACETOFENIDA+ENANTATO DE ESTRADIOL;150+10 mg/ml sol inj x 1ml;2;R$ 22,76 ;R$ 11,38 ;R$ 11,38 ;R$ 3,87 ;3
