PRODUTO_ID,NCM,EAN,DESCRICAO,APRESENTACAO,QUANTIDADE,TOTAL_BRUTO,TOTAL_LIQUIDO,PROD_SALDO,VALOR_ULT_COMPRA,,SOMA TOTAL,Produtos A,Produtos B,Produtos C
21081,30049079,7891320000000,CITRATO DE SILDENAFILA  50MG  COMP,50mg cx 8 comp rev,100,12426.60019,6213.210075,4,4.10529995,,"$530,724.79",80.00%,15.00%,5.00%
8501,30049037,7896710000000,TORSILAX  C/ 10 COMPR. NEO QUIM., CX/ 30 COMPR.,886,10289.3602,5178.870199,-12,2.290888786,,,,,
17371,30049069,7896640000000,NEOSALDINA 30 DRAG,,315,9293.980021,7436.83013,13,22.23749924,,,Valor Limite,,
8912,30039049,7896520000000,CIMELIDE C/12 COMPR.(NIMESULIDA),NIMESULIDA CIMED,497,7971.510023,4008.039969,71,2.524600029,,,"$424,579.83","$79,608.72","$26,536.24"
19551,30049039,7891060000000,DORFLEX,300+35+50 mg comp x 300 emb. mult,51,7811.520081,4922.370056,1,117.3399963,,,,,
13028,30049079,7891720000000,MELOXICAM 15 MG.C/10 COMP. MERCK,GENERICO MERCK,134,4978.990086,2510.040016,5,6.454999924,,Linha inicial,Linha Limite,,
16367,30049067,7896710000000,CITRATO DE SILDENAFILA,50mg cx 4 comp,196,4653.140087,3124.250049,49,3.319999933,,1,562,1200,2119
18412,30049099,7896470000000,MULTIGRIP,400+4+4mg 2bl x 10 cap,198,4108.739998,2059.699992,33,4.289999962,,,562,1200,2119
16276,30049099,7898160000000,FLORENT,100MG CX 12 CAP,104,3844.139931,1964.170044,6,12.18875027,,,,,
18969,30049077,7899100000000,BETRICORT,creme bg 30g,145,3826.599955,1915.829967,17,5.309999943,,Quantidade Linhas,2118,,
8559,30044990,7896030000000,BUSCOPAN COMPOSTO COMP.REVESTIDO,COMPR REV C/2BL X 10,267,3816.709995,3113.149964,-18,10.76329994,,,,,
16120,30049099,7896710000000,NEOSORO,30 ML,426,3644.110103,1847.560015,54,2.319999933,,,,,
19365,30049063,7899550000000,ALBENDAZOL 400MG 5 CPS / GEN ALBENDAZOL,,119,3617.650055,1854.110028,45,7.324399948,,INFO: a linha limite é definida com a ajuda de uma relação circular,,,
19904,30049099,7899550000000,TADALAFILA,20mg cx 60 comp rev (Emb Frac),4,3412.77002,1706.400024,1,104.8700027,,"entre duas células, as da linha 8 e 9. Estando os valores da linha 9 ",,,
13849,30033939,7896520000000,"DIAD 0,75MG C/2","0,75MG C/2",187,2956.979963,1506.079982,65,2.549999952,,na cor branca. Essa relação foi possível graças a opção iterative ,,,
15888,30049069,7899550000000,LOSARTANA POTASSICA 50MG,50MG,306,2919.239988,1754.419991,35,2.487499952,,calculation estar habilitada no menu File>Spreadsheet settings.,,,
17990,30039055,7896520000000,CIMEGRIPE,400+4+4mg cx 100 cap,29,2864.329903,1091.449989,21,12.48999977,,,,,
19943,30049069,7891720000000,ACICLOVIR,200mg fr 25 comp,27,2805.060036,1402.530018,8,17.29000092,,,,,
17701,30049037,7899100000000,SODIX,50mg cx 20 comp rev,260,2607.969925,1303.969962,98,2.339999914,,,,,
14290,30044200,7896210000000,TYLENOL SINUS,COMPRIMIDO,156,2592.75001,2084.679992,22,12.78999996,,,,,
15949,30049039,7896210000000,SELOZOK 50MG 30 COMP,50MG 30COMP,45,2481.499958,1998.950043,3,42.72999954,,,,,
20654,30049099,7896710000000,NEOLEFRIN 20COMP,400+20+400+4mg cx 20 comp,144,2384.579945,1207.939976,12,4.829999924,,,,,
18097,30049045,7898150000000,PARACETAMOL 750MG 12 COMP,750MG 12 COMP,15,2359.379913,1180.249957,12,43.25999832,,,,,
13346,30045090,7896090000000,BENEGRIP,6 COMPRIMIDOS       ,259,2327.449978,1657.349997,40,6.684400082,,,,,
17678,30049099,7896660000000,TREZOR,10mg cx 30 comp rev,46,2272.199982,1826.080032,2,29.04999924,,,,,
17312,30043939,7891110000000,DIANE 35 DRG 3X21,,37,2219.200039,1775.410042,3,45.11000061,,,,,
16651,30049029,7899100000000,IBUPROFENO,100mg/ml susp oral fr 20ml,114,2046.300087,1050.629951,60,2.789999962,,,,,
5546,30049029,7896000000000,EXPEC XPE 120 ML,VD.120 ML LEGRAND,64,2022.870005,1011.49998,29,8.616200447,,,,,
18106,21069030,7897950000000,LAVITAN SUPLEMENTOS FR 60 DRG - LOTE: 1308839 PMC:,,49,1960,1240,31,8.989999771,,,,,
14793,30049069,7899100000000,LORITIL,10MG CX 12 COMP,122,1934.719973,983.3199787,34,2.493299961,,,,,
20249,30049099,7896090000000,ESTOMAZIL EFV C/50 ENV 5G ABACAX,,15,1919.049988,1348.689995,2,101.1999969,,,,,
19874,30049079,7897410000000,BENICAR ANLO,40+10mg cx 30 comp rev,26,1872.460007,1505.140007,2,54.27999878,,,,,
15045,30042099,7898150000000,PRATIDERM,100MUI+200MG POM DERM BG 60G,73,1869.480042,956.1900206,2,9.178299904,,,,,
18721,30049039,7896520000000,NEVRALGEX,300+50+35mg cx 100 comp,36,1804.12001,902.0600052,6,7.989999771,,,,,
11827,30044990,7893740000000,ENXAK C/12 COMPR.(CEFALIV),C/12 COMPR.,111,1739.269993,1472.280002,61,7.929999828,,,,,
15088,30049069,7896110000000,OMEPRAZOL,20MG CX 28 CAP,52,1735.379948,867.8800278,5,4.722499847,,,,,
1378,30049099,7896660000000,TANDRILAX COMPR. C/30,CX 30 COMPRIMIDOS,49,1730.539928,1357.809988,3,21.55999947,,,,,
15103,30049069,7898150000000,DIPIRONA SODICA GENERICO PRATI DONADUZI,500 MG 10 COMPRIMIDOS,8,1716.589981,858.2899933,7,69.68000031,,,,,
19199,30049029,7898100000000,DIP BETAMETASONA+FOSF DISSODICO D,5+2mg sus inj amp x 1ml,85,1687.339949,843.5100079,4,4.78000021,,,,,
20776,30049079,7896090000000,PLENANCE 20MG 90 COMP,20mg cx 90 comp rev,9,1683.480026,1346.799942,1,136.2700043,,,,,
18507,21069030,7898280000000,BIOPANTOVIT BOLDO C/60 FLAC 10ML - ART.N,,18,1683,841.5,6,20.98999977,,,,,
19335,30043939,7891320000000,TAMISA 20 63 COMP REVESTIDOS,,27,1681.459969,1338.639957,1,46.63000107,,,,,
2604,30042099,7898070000000,MONURIL 1X8 G,,33,1674.599968,1339.770035,5,37.52000046,,,,,
20500,30049069,7894920000000,"BRASART HCT 160 12,5MG C 90 COMP",,14,1661.779968,1329.439972,0,87.20999908,,,,,
16406,30049059,7898050000000,IVERMECTINA,6mg cx 4 comp,65,1617.85001,821.2200041,5,5.497499943,,,,,
133,30049099,7896090000000,ENGOV C/6 COMPR.,6 COMP.,295,1615.769964,1109.800026,8,4.130400181,,,,,
16025,30066000,7896110000000,LEVEL,63 COMP,27,1595.789978,1230.179974,0,44.34999847,,,,,
16058,30049069,7896240000000,VONAU,FLASH 4MG CX 10 COMP DES ORAL,45,1522.079967,1225.509995,3,25.12000084,,,,,
6730,38220010,7898080000000,GRAV TEST NECKERMAN,NECKERMAN,104,1508,799.0500011,43,2.690000057,,,,,
17797,30049099,7896010000000,LACRIFILM,5mg/ml sol oft fr gts 10ml,86,1500.220039,1198.889983,6,13.11499977,,,,,
17108,30049099,7896710000000,MESALAZINA,800mg cx 30 comp rev,18,1481.180008,530.7599831,-5,30.56579971,,,,,
7994,30049069,7896710000000,NEOPIRIDIN C/12 PAST.NEO QUIMICA,C/12 PASTILHA,205,1471.040014,1247.520005,61,4.75,,,,,
20733,30049099,7899100000000,PANTOPRAZOL 40MG C/28 COMP REV GEN ,,19,1465.090012,732.4499855,0,10.25500011,,,,,
